storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,10,60,1,2026-07-30T09:50:06.288399+00:00,1.437,842.867,650.802,126.956,True,True,True,sbx-e48f9e0c-46d3-4ede-8bfe-acd4d4d00872,,
none,10,60,2,2026-07-30T09:50:06.388399+00:00,1.182,878.305,908.721,534.997,True,True,True,sbx-efec97f0-ba5a-4a48-bf2a-dfc9247673de,,
none,10,60,3,2026-07-30T09:50:06.488399+00:00,1.284,650.119,467.428,180.76,True,True,True,sbx-a28b0dca-1f1b-4d7d-855f-10b47ebf6fc6,,
none,10,60,4,2026-07-30T09:50:06.588399+00:00,0.657,566.769,453.511,177.629,True,True,True,sbx-e91c6cb5-d3eb-4407-80e9-bee26f54b5a9,,
none,10,60,5,2026-07-30T09:50:06.688399+00:00,0.804,915.594,1116.989,907.025,True,True,True,sbx-f11972f8-e51b-47f7-ab31-68d8a16de57b,,
none,10,60,6,2026-07-30T09:50:06.788399+00:00,0.649,517.944,870.434,577.915,True,True,True,sbx-8480aaa7-aea1-4926-8cb5-7a624a88e3f3,,
none,10,60,7,2026-07-30T09:50:06.888399+00:00,0.704,892.437,3358.413,515.058,True,True,True,sbx-477db3c6-65f8-416b-93c7-415d791bedf2,,
none,10,60,8,2026-07-30T09:50:06.988399+00:00,0.819,619.136,2584.88,190.576,True,True,True,sbx-4dcc9e20-655c-4ec7-87ea-da63e1947ba1,,
none,10,60,9,2026-07-30T09:50:07.088399+00:00,1.207,695.474,2810.664,373.842,True,True,True,sbx-c50b3597-353a-434f-95be-2d8cbce45aa4,,
none,10,60,10,2026-07-30T09:50:07.188399+00:00,0.8,555.198,978.144,491.049,True,True,True,sbx-5593ed57-ba2b-49ff-a634-0bf6ed0c1fec,,
none,10,60,11,2026-07-30T09:50:07.288399+00:00,0.72,886.154,2019.461,190.153,True,True,True,sbx-371e17c2-4a09-40bd-b401-982c8b226d4a,,
none,10,60,12,2026-07-30T09:50:07.388399+00:00,1.15,789.294,1449.195,445.785,True,True,True,sbx-0c5e366b-0c63-4fd9-af3d-31cc7291a47b,,
none,10,60,13,2026-07-30T09:50:07.488399+00:00,0.953,1223.716,1760.722,136.811,True,True,True,sbx-08e3f3e5-a756-4716-ba0e-2ec525921942,,
none,10,60,14,2026-07-30T09:50:07.588399+00:00,0.855,2037.998,1351.41,207.887,True,True,True,sbx-4bf570de-c04c-4ca1-a17e-38f319b11cd1,,
none,10,60,15,2026-07-30T09:50:07.688399+00:00,1.12,1031.028,1756.549,136.103,True,True,True,sbx-ff72fda3-ade3-4f98-86df-4ced0fb96d29,,
none,10,60,16,2026-07-30T09:50:07.788399+00:00,0.751,965.71,1717.348,133.357,True,True,True,sbx-72a642e0-2840-4c97-8111-9ca5fe380110,,
none,10,60,17,2026-07-30T09:50:07.888399+00:00,1.097,871.238,2375.223,449.808,True,True,True,sbx-7c1c3c6d-a918-450a-bd6a-cbd374374e0b,,
none,10,60,18,2026-07-30T09:50:07.988399+00:00,0.89,738.266,1825.927,83.765,True,True,True,sbx-507d804a-b08b-4739-a12c-655be8298065,,
none,10,60,19,2026-07-30T09:50:08.088399+00:00,0.852,654.616,1732.038,131.094,True,True,True,sbx-b102f484-fe0e-4156-9ccc-c4eeacd27333,,
none,10,60,20,2026-07-30T09:50:08.188399+00:00,0.357,555.893,1877.134,357.504,True,True,True,sbx-26c3eb8e-9436-4de2-bc5c-87c8fc40a5d4,,
none,10,60,21,2026-07-30T09:50:08.288399+00:00,1.138,2184.062,1179.655,82.47,True,True,True,sbx-614a2dfa-4e1d-4c29-a58c-6aac92fa88d4,,
none,10,60,22,2026-07-30T09:50:08.388399+00:00,1.198,1270.92,1311.435,213.689,True,True,True,sbx-33ccf993-95d2-41e8-aae3-70fff2006e05,,
none,10,60,23,2026-07-30T09:50:08.488399+00:00,0.996,1172.326,1313.523,211.919,True,True,True,sbx-e7eabc50-8cf6-430b-ac8a-2b2118697905,,
none,10,60,24,2026-07-30T09:50:08.588399+00:00,0.833,1633.804,929.068,493.787,True,True,True,sbx-6d670c05-9fc1-4492-850e-ac744b822e14,,
none,10,60,25,2026-07-30T09:50:08.688399+00:00,1.265,2962.918,592.509,109.028,True,True,True,sbx-2998414c-3514-42bb-b79e-a712171e73e0,,
none,10,60,26,2026-07-30T09:50:08.788399+00:00,0.873,1593.447,771.47,496.874,True,True,True,sbx-5faa8258-576b-4d32-9d47-2a3a036bbfb5,,
none,10,60,27,2026-07-30T09:50:08.888399+00:00,0.383,3236.338,396.358,113.222,True,True,True,sbx-8ba7706a-eefb-424e-983f-1b33b9e2f34b,,
none,10,60,28,2026-07-30T09:50:08.988399+00:00,0.65,1604.989,1214.551,256.115,True,True,True,sbx-d95556a7-4eee-42af-bc53-8bf76d8237c9,,
