storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,1,60,1,2026-07-30T08:42:32.327265+00:00,2.793,1884.077,7517.223,1162.427,True,True,True,sbx-8e088fa7-d3fe-45e0-ab08-c4d3633110b0,,
none,1,60,2,2026-07-30T08:42:33.327265+00:00,1.133,8398.294,6265.444,2195.153,True,True,True,sbx-e2a4b0c5-6fb4-4bc7-a2e3-375e2dc72529,,
none,1,60,3,2026-07-30T08:42:34.327265+00:00,0.385,6168.984,6181.553,1427.732,True,True,True,sbx-0ee67c10-ef1f-4ad0-ae86-56ebc6a572db,,
none,1,60,4,2026-07-30T08:42:35.327265+00:00,1.2,6398.625,5618.086,2676.589,True,True,True,sbx-3a936963-afd9-42a1-9e01-9d1c410eeae4,,
none,1,60,5,2026-07-30T08:42:36.327265+00:00,0.8,5501.427,6275.834,2085.201,True,True,True,sbx-1734d57c-2728-4a52-965e-6ed7d8e7725f,,
none,1,60,6,2026-07-30T08:42:37.327265+00:00,1.04,6574.51,21971.644,10882.599,True,True,True,sbx-e6150ae2-1750-48a3-ba7f-d1b67f3892ef,,
none,1,60,7,2026-07-30T08:42:38.327265+00:00,1.104,7916.619,19628.819,10340.104,True,True,True,sbx-0253bf78-e1a6-49c2-bb42-833ab1286ac6,,
none,1,60,8,2026-07-30T08:42:39.327265+00:00,0.674,7349.363,11614.298,3946.507,True,True,True,sbx-638fba9b-d2eb-4e72-948e-c6303b9aba11,,
none,1,60,9,2026-07-30T08:42:40.327265+00:00,0.848,3682.532,12299.968,1051.083,True,True,True,sbx-e98cd086-21d3-49b2-82cb-9cbc172a2de6,,
none,1,60,10,2026-07-30T08:42:41.327265+00:00,0.838,5348.853,11733.807,5412.642,True,True,True,sbx-a20ab086-54c4-4b47-8d99-ed0521fb3e32,,
none,1,60,11,2026-07-30T08:42:42.327265+00:00,0.762,5776.253,9369.184,3753.323,True,True,True,sbx-ab2d57f0-f8ca-406d-a229-1977d59406d6,,
none,1,60,12,2026-07-30T08:42:43.327265+00:00,0.994,6266.058,7411.461,2812.278,True,True,True,sbx-42a67985-7f96-488c-9644-e36f68e1b23e,,
none,1,60,13,2026-07-30T08:42:44.327265+00:00,0.445,3016.197,8606.683,1412.325,True,True,True,sbx-b4f08a9e-c5b6-4935-9a14-72edf7903962,,
none,1,60,14,2026-07-30T08:42:45.327265+00:00,0.763,7261.83,65624.136,,True,False,True,sbx-abf63554-d51b-42ac-b393-33faa84cd45e,SandboxException,Code.unknown: 
none,1,60,15,2026-07-30T08:42:46.327265+00:00,0.839,7745.498,10748.546,3336.404,True,True,True,sbx-ce166c55-bad7-4819-9dd5-408df8ac0ecb,,
none,1,60,16,2026-07-30T08:42:47.327265+00:00,0.433,8736.904,25962.905,96.827,True,True,True,sbx-c6d4d88f-3a8f-47e9-8140-e7499e1ef265,,
none,1,60,17,2026-07-30T08:42:48.327265+00:00,1.215,6415.275,9914.027,1441.925,True,True,True,sbx-008ff052-4be6-4934-9253-a887f82b3af3,,
none,1,60,18,2026-07-30T08:42:49.327265+00:00,0.857,6326.526,9839.89,1298.252,True,True,True,sbx-8729015e-f602-40a9-b720-353804e9c497,,
none,1,60,19,2026-07-30T08:42:50.327265+00:00,0.169,2263.112,40341.395,2294.45,True,True,True,sbx-213e6bd5-1d38-421c-860c-614bdd2d981e,,
none,1,60,20,2026-07-30T08:42:51.327265+00:00,0.893,5676.425,15993.303,1136.0,True,True,True,sbx-e673900f-a237-476b-8b61-0576ce2646e2,,
none,1,60,21,2026-07-30T08:42:52.327265+00:00,0.612,1904.789,10161.072,5281.967,True,True,True,sbx-b251cc39-3612-45b6-b93a-9bde3d6bb058,,
none,1,60,22,2026-07-30T08:42:53.327265+00:00,1.284,2323.657,9904.0,1237.642,True,True,True,sbx-5e78ec03-4772-431d-8843-60df1ebe58e3,,
none,1,60,23,2026-07-30T08:42:54.327265+00:00,0.914,2530.897,29836.588,1197.322,True,True,True,sbx-8f6ea0ef-3a43-451b-9d56-eec501f15311,,
