storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,10,60,1,2026-07-30T08:50:44.051532+00:00,1.261,36658.401,64907.9,,True,False,True,sbx-fc942fd3-2ebf-4dd6-9abf-d5c738c7e497,SandboxException,Code.unknown: 
none,10,60,2,2026-07-30T08:50:44.151532+00:00,1.035,158589.617,,,True,False,True,sbx-fbd7d52b-0115-411c-868d-260bd7211b2b,SandboxException,Code.unknown: 
none,10,60,3,2026-07-30T08:50:44.251532+00:00,0.557,170844.04,34399.385,2533.899,True,True,True,sbx-e24e90a8-14ee-4cad-904d-6591749358b4,,
none,10,60,4,2026-07-30T08:50:44.351532+00:00,0.465,24505.09,30150.138,1687.806,True,True,True,sbx-b94f21e9-4941-45ac-b634-5585a23b79bc,,
none,10,60,5,2026-07-30T08:50:44.451532+00:00,0.907,24337.671,22988.568,161402.695,True,True,True,sbx-7da00651-0e71-4cbf-926b-ae5c96a8d2d0,,
none,10,60,6,2026-07-30T08:50:44.551532+00:00,0.491,28681.659,28164.015,3816.324,True,True,True,sbx-9b5d1ed6-23ff-4702-b63b-446a9014f5ed,,
none,10,60,7,2026-07-30T08:50:44.651532+00:00,0.792,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,8,2026-07-30T08:50:44.751532+00:00,0.934,148359.101,25270.298,3552.766,True,True,True,sbx-e1224a41-9d3e-4142-acdb-06b8e07bed5d,,
none,10,60,9,2026-07-30T08:50:44.851532+00:00,0.446,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,10,2026-07-30T08:50:44.951532+00:00,1.373,49381.991,47482.04,,True,False,False,sbx-2e0b290a-ca83-43db-9a2e-1a904c2bdbba,SandboxException,Code.unknown: 
none,10,60,11,2026-07-30T08:50:45.051532+00:00,1.233,37023.032,48226.41,,True,False,True,sbx-d5e1d0a7-e76e-447b-b6c8-930947b8ac97,SandboxException,Code.unknown: 
none,10,60,12,2026-07-30T08:50:45.151532+00:00,1.57,35890.448,18726.404,1626.358,True,True,True,sbx-7fa032bb-2519-4559-8ff4-dbeb34649c93,,
none,10,60,13,2026-07-30T08:50:45.251532+00:00,1.078,31332.759,,,True,False,True,sbx-0e57cf99-4ea4-4bf5-aad4-54e240db5e74,SandboxException,Code.unknown: 
none,10,60,14,2026-07-30T08:50:45.351532+00:00,0.366,26241.154,24020.374,12436.842,True,True,True,sbx-e51bc360-9e85-4e22-a550-dcc1e09c4076,,
none,10,60,15,2026-07-30T08:50:45.451532+00:00,1.207,46606.71,30950.509,36693.048,True,True,True,sbx-74bd0972-3b64-4235-af53-9858fc507317,,
none,10,60,16,2026-07-30T08:50:45.551532+00:00,1.251,143384.354,28796.79,10368.843,True,True,True,sbx-16fac9b8-51bb-4969-a677-81626b210d9b,,
none,10,60,17,2026-07-30T08:50:45.651532+00:00,1.255,154779.148,50582.667,1023.993,True,True,True,sbx-cd7317c9-a27a-4a0a-aeda-5eacb6504fd7,,
none,10,60,18,2026-07-30T08:50:45.751532+00:00,1.192,43984.933,29594.948,12345.037,True,True,True,sbx-9b23ff4b-7a25-4a23-8bee-7319983f27dc,,
none,10,60,19,2026-07-30T08:50:45.851532+00:00,2.425,147234.6,42937.331,4571.841,True,True,True,sbx-5327107e-455a-48d3-b6be-98ef5bf291af,,
none,10,60,20,2026-07-30T08:50:45.951532+00:00,0.725,110174.725,11070.667,,True,False,True,sbx-4b916251-2f00-47e4-a6a2-9efef9932b4e,SandboxException,Code.unknown: 
none,10,60,21,2026-07-30T08:50:46.051532+00:00,1.179,16875.781,30663.073,13646.878,True,True,True,sbx-89581d96-9134-4174-89d0-90f2443c0408,,
none,10,60,22,2026-07-30T08:50:46.151532+00:00,0.591,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,23,2026-07-30T08:50:46.251532+00:00,0.548,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,24,2026-07-30T08:50:46.351532+00:00,0.72,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,25,2026-07-30T08:50:46.451532+00:00,1.155,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,26,2026-07-30T08:50:46.551532+00:00,0.864,51866.188,,,True,False,True,sbx-fc42d9d9-128e-4c73-91df-d58933c9566b,SandboxException,Code.unknown: 
none,10,60,27,2026-07-30T08:50:46.651532+00:00,0.532,,,,False,False,True,,ReadTimeout,The read operation timed out
none,10,60,28,2026-07-30T08:50:46.751532+00:00,0.597,131896.829,30652.196,,True,False,True,sbx-4b294076-ba80-45d6-9b45-e2c14237c3f8,SandboxException,Code.unknown: 
none,10,60,29,2026-07-30T08:50:46.851532+00:00,0.477,28534.157,59431.735,,True,False,True,sbx-5433a62c-9ef0-4a42-9047-d8093945ab44,SandboxException,Code.unknown: 
none,10,60,30,2026-07-30T08:50:46.951532+00:00,1.184,46435.251,,,True,False,False,sbx-3fc64328-3813-48aa-89a5-49c368a2d5b7,SandboxException,Code.unknown: 
none,10,60,31,2026-07-30T08:50:47.051532+00:00,0.706,33657.907,65592.008,,True,False,True,sbx-efbacdc9-371f-455c-b28d-f6a7b699bc75,SandboxException,Code.unknown: 
none,10,60,32,2026-07-30T08:50:47.151532+00:00,0.721,147997.668,36483.3,1564.925,True,True,True,sbx-c8672d3c-f09e-431c-b796-5713c19556a1,,
none,10,60,33,2026-07-30T08:50:47.251532+00:00,0.579,32913.342,20533.487,3529.516,True,True,True,sbx-861890b8-aaee-476e-9705-2b385e106ee2,,
none,10,60,34,2026-07-30T08:50:47.351532+00:00,0.718,,,,False,False,True,,RemoteProtocolError,Server disconnected
none,10,60,35,2026-07-30T08:50:47.451532+00:00,1.176,32731.824,20939.061,3297.05,True,True,True,sbx-2b00e0e3-825c-4987-93ff-b2792fa04fe5,,
none,10,60,36,2026-07-30T08:50:47.551532+00:00,1.42,35157.398,37093.132,14209.018,True,True,False,sbx-0a2f7692-5a80-4f05-bffe-afcb278bf1b2,CleanupRemoteProtocolError,Server disconnected
none,10,60,37,2026-07-30T08:50:47.651532+00:00,0.713,34319.853,67852.921,,True,False,False,sbx-d3678787-6d37-4f09-a300-b60a9f671131,SandboxException,Code.unknown: 
none,10,60,38,2026-07-30T08:50:47.751532+00:00,0.556,36248.864,,,True,False,True,sbx-93a9cbf2-c4b4-4dfb-be81-c12c17916d26,SandboxException,Code.unknown: 
none,10,60,39,2026-07-30T08:50:47.851532+00:00,0.821,9699.876,36040.214,42975.705,True,True,True,sbx-ae03875c-0a04-44a3-aa2c-c39e139c53ac,,
none,10,60,40,2026-07-30T08:50:47.951532+00:00,1.067,9603.243,19331.29,17450.686,True,True,True,sbx-f2b2a0ed-6b6f-4bbd-b26f-a2aaba49f81b,,
none,10,60,41,2026-07-30T08:50:48.051532+00:00,0.58,9502.487,18657.524,4045.856,True,True,True,sbx-d0a16130-f418-4524-8d11-4a742e99a363,,
none,10,60,42,2026-07-30T08:50:48.151532+00:00,0.688,,,,False,False,True,,ReadTimeout,The read operation timed out
none,10,60,43,2026-07-30T08:50:48.251532+00:00,1.269,14478.619,37758.956,2899.042,True,True,True,sbx-dc7f75d7-a681-446d-98bf-952509f90e3e,,
none,10,60,44,2026-07-30T08:50:48.351532+00:00,0.389,52479.169,,,True,False,True,sbx-c479ae1d-4a58-4302-98a9-b0e424f0b128,SandboxException,Code.unknown: 
none,10,60,45,2026-07-30T08:50:48.451532+00:00,0.637,23519.884,38552.568,7470.701,True,True,True,sbx-c6c0c9a8-3967-4fff-9789-6134f3f8cd36,,
