provider,product_name,driver,storage,target_rate_per_s,duration_seconds,configured_max_workers,effective_max_workers,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,failure_phase,error_type,error_message,error_traceback,cleanup_error_type,cleanup_error_message,cleanup_error_traceback,ready_poll_count,last_observed_status
vol,字节,volcengine_native,none,1,2,1000,2,1,2026-08-05T09:03:01.308554+00:00,1.605,4358.835,4491.47,4595.293,True,True,True,vefaas-zhbatkbe-pvwvqxqnp4-d9pfohg3rus1u7gvsmb0-sandbox,,,,,,,,2,Ready
vol,字节,volcengine_native,none,1,2,1000,2,2,2026-08-05T09:03:02.308554+00:00,0.867,4616.861,4696.812,4844.014,True,True,True,vefaas-zhbatkbe-pvwvqxqnp4-d9pfoho3uasrpf9nrdog-sandbox,,,,,,,,2,Ready
