storage,target_rate_per_s,duration_seconds,trial_index,scheduled_at_utc,queue_delay_ms,api_latency_ms,first_command_latency_ms,second_command_latency_ms,api_success,ready_success,cleanup_success,sandbox_id,error_type,error_message
none,1,60,38,2026-07-30T09:51:56.315470+00:00,0.359,667.265,407.74,41.134,True,True,True,sbx-dc6c622e-49f6-4bb3-ba8e-94af9e63b63e,,
none,1,60,39,2026-07-30T09:51:57.315470+00:00,0.583,348.378,257.413,41.479,True,True,True,sbx-9fddca53-e3e6-4a17-8b2c-30099f5e1f63,,
none,1,60,40,2026-07-30T09:51:58.315470+00:00,0.917,477.862,227.481,43.009,True,True,True,sbx-808f1a34-e891-4e4a-83d2-fd9436135221,,
none,1,60,41,2026-07-30T09:51:59.315470+00:00,0.61,334.307,217.02,51.742,True,True,True,sbx-04ac96cd-d9bd-4ec4-b03d-eb29c2ef752b,,
none,1,60,42,2026-07-30T09:52:00.315470+00:00,0.35,323.787,203.123,41.875,True,True,True,sbx-29f4ac69-5af1-489b-a817-e78bb048225f,,
none,1,60,43,2026-07-30T09:52:01.315470+00:00,0.251,655.238,236.178,92.788,True,True,True,sbx-2e8d6b7e-5bd6-4ded-aa4d-900f2b8bfa83,,
none,1,60,44,2026-07-30T09:52:02.315470+00:00,0.619,291.635,274.164,46.248,True,True,True,sbx-14d43942-89bc-48e7-888b-fd34bdbc202e,,
none,1,60,45,2026-07-30T09:52:03.315470+00:00,0.322,316.5,235.497,61.042,True,True,True,sbx-492e38f9-81d9-4785-be4e-317bfadd6cb7,,
none,1,60,46,2026-07-30T09:52:04.315470+00:00,0.388,321.39,246.405,42.981,True,True,True,sbx-7b60e206-d8a9-4f88-9669-7259cd63c2b8,,
none,1,60,47,2026-07-30T09:52:05.315470+00:00,0.667,323.113,226.493,37.699,True,True,True,sbx-2097dfc3-eb6a-4936-ac0e-72ba427be2b8,,
none,1,60,48,2026-07-30T09:52:06.315470+00:00,0.83,324.008,305.578,51.686,True,True,True,sbx-c4d772a7-b07b-4592-982f-be3686e09cc9,,
none,1,60,49,2026-07-30T09:52:07.315470+00:00,0.982,309.961,261.483,62.406,True,True,True,sbx-c9f9752c-4269-47a2-8a09-580643ba687c,,
none,1,60,50,2026-07-30T09:52:08.315470+00:00,1.196,310.656,253.753,41.7,True,True,True,sbx-55460b9e-7ebc-4a78-9135-6e1ab5c94521,,
none,1,60,51,2026-07-30T09:52:09.315470+00:00,0.936,434.571,237.582,42.192,True,True,True,sbx-a1e336a1-1666-4835-b752-9800307d14d9,,
none,1,60,52,2026-07-30T09:52:10.315470+00:00,0.315,282.083,291.483,49.71,True,True,True,sbx-d006dc70-324c-417e-9a9a-ce352cb985b5,,
none,1,60,53,2026-07-30T09:52:11.315470+00:00,0.694,414.578,567.914,52.365,True,True,True,sbx-04cdaa33-6d55-49c1-94b4-9897da6e0cc7,,
none,1,60,54,2026-07-30T09:52:12.315470+00:00,0.927,476.452,244.748,40.114,True,True,True,sbx-1bcdc8d3-9b80-4a08-828a-fa52a6767235,,
none,1,60,55,2026-07-30T09:52:13.315470+00:00,0.418,339.031,234.53,41.28,True,True,True,sbx-38d6fb1a-d253-4cb7-a897-b61eb0558002,,
none,1,60,56,2026-07-30T09:52:14.315470+00:00,1.031,348.884,265.643,37.267,True,True,True,sbx-553b08e7-4b4a-4b29-afb4-16ad9b77987a,,
none,1,60,57,2026-07-30T09:52:15.315470+00:00,0.631,304.134,204.159,37.684,True,True,True,sbx-400718d1-bcc7-4810-94bd-a76b9f5aa823,,
none,1,60,58,2026-07-30T09:52:16.315470+00:00,0.369,338.451,249.482,65.889,True,True,True,sbx-7f717dd3-c539-4ed3-a41f-587d9e08b57e,,
none,1,60,59,2026-07-30T09:52:17.315470+00:00,0.865,349.12,281.365,41.481,True,True,True,sbx-ef9e2917-1eaa-4407-bc1e-0eeb5a09da57,,
none,1,60,60,2026-07-30T09:52:18.315470+00:00,0.639,312.822,245.052,96.305,True,True,True,sbx-12c58502-1014-4186-8fe2-d0595fce84bf,,
